rule_id,display_name,severity,fidelity_tier,data_source,useful_30d,noise_30d,useful_pct,notes
Cloudflare.HttpRequest.BotHighVolume,Cloudflare Bot High Volume,Low,Developmental,disabled,,,,Disabled (Enabled: false)
Crowdstrike.DNS.Request,DNS request to denylisted domain,High,Developmental,disabled,,,,Disabled (Enabled: false)
Crowdstrike.FDR.LOLBAS,Crowdstrike FDR LOLBAS,Info,Developmental,disabled,,,,Disabled (Enabled: false)
Crowdstrike.Macos.Plutil.NewFiles,CrowdStrike MacOS plutil Novel Plist Modification (Anomaly Detection),Medium,Developmental,disabled,,,,Disabled (Enabled: false)
Decoy.DynamoDB.Accessed,Decoy DynamoDB Accessed,High,Developmental,disabled,,,,Disabled (Enabled: false)
Decoy.IAM.Assumed,Decoy IAM Assumed,High,Developmental,disabled,,,,Disabled (Enabled: false)
Decoy.S3.Accessed,Decoy S3 Accessed,High,Developmental,disabled,,,,Disabled (Enabled: false)
Decoy.Secret.Accessed,Decoy Secret Accessed,High,Developmental,disabled,,,,Disabled (Enabled: false)
Decoy.Systems.Manager.Parameter.Accessed,Decoy Systems Manager Parameter Accessed,High,Developmental,disabled,,,,Disabled (Enabled: false)
Dropbox.BulkDeletes,Dropbox Many Deletes,Medium,Developmental,disabled,,,,Disabled (Enabled: false)
Dropbox.BulkDownloads,Dropbox Many Downloads,Medium,Developmental,disabled,,,,Disabled (Enabled: false)
GAIA.Credential.Theft.Attack.Chain.Group,GAIA GCPW Credential Theft Attack Chain,High,Developmental,disabled,,,,Disabled (Enabled: false)
GCP.Cloud.Run.Service.Created.WITH.Set.IAM.Policy,GCP Cloud Run Service Created WITH Set IAM Policy,High,Developmental,disabled,,,,Disabled (Enabled: false)
GCP.Compute.Snapshot.UnexpectedDomain,GCP Snapshot Creation Detection,Medium,Developmental,disabled,,,,Disabled (Enabled: false)
GCP.K8S.Pod.Create.Or.Modify.Host.Path.Volume.Mount,GCP K8S Pod Create Or Modify Host Path Volume Mount,High,Developmental,disabled,,,,Disabled (Enabled: false)
GCP.K8S.Privileged.Pod.Created,GCP K8S Privileged Pod Created,High,Developmental,disabled,,,,Disabled (Enabled: false)
GCP.K8S.Service.Type.NodePort.Deployed,GCP K8S Service Type NodePort Deployed,High,Developmental,disabled,,,,Disabled (Enabled: false)
GCP.K8s.ExecIntoPod,Exec into Pod,Medium,Developmental,disabled,,,,Disabled (Enabled: false)
GCP.K8s.IOC.Activity,GCP K8s IOCActivity,Medium,Developmental,disabled,,,,Disabled (Enabled: false)
GCP.K8s.New.Daemonset.Deployed,GCP K8s New Daemonset Deployed,Medium,Developmental,disabled,,,,Disabled (Enabled: false)
GCP.K8s.Pod.Attached.To.Node.Host.Network,GCP K8s Pod Attached To Node Host Network,Medium,Developmental,disabled,,,,Disabled (Enabled: false)
GCP.K8s.Pod.Using.Host.PID.Namespace,GCP K8s Pod Using Host PID Namespace,Medium,Developmental,disabled,,,,Disabled (Enabled: false)
GCP.Privilege.Escalation.Via.TagBinding.Group,GCP Privilege Escalation via TagBinding,Info,Developmental,disabled,,,,Disabled (Enabled: false)
GCP.UnusedRegions,GCP Resource in Unused Region,Medium,Developmental,disabled,,,,Disabled (Enabled: false)
GCP.User.Added.To.Privileged.Group,GCP User Added to Privileged Group,Low,Developmental,disabled,,,,Disabled (Enabled: false)
GSuite.Drive.ExternalFileShare,External GSuite File Share,High,Developmental,disabled,,,,Disabled (Enabled: false)
GSuite.DriveVisibilityChanged,GSuite External Drive Document,Low,Developmental,disabled,,,,Disabled (Enabled: false)
GSuite.LoginType,GSuite Login Type,Medium,Developmental,disabled,,,,Disabled (Enabled: false)
GitHub.Action.Failed,GitHub Action Failed,High,Developmental,disabled,,,,Disabled (Enabled: false)
GitHub.Advanced.Security.Change.NOT.FOLLOWED.BY.Repo.Archived,GitHub Advanced Security Change WITHOUT Repo Archived,Critical,Developmental,disabled,,,,Disabled (Enabled: false)
GitHub.ArtifactDownload.FROM.CrossFork.Workflow,GitHub Artifact Download from Cross-Fork Workflow,Medium,Developmental,disabled,,,,Disabled (Enabled: false)
GitHub.PullRequestTarget.WITH.Checkout.In.Workflow,GitHub pull_request_target Workflow with Checkout Action,Medium,Developmental,disabled,,,,Disabled (Enabled: false)
GitHub.PullRequestTarget.WITH.SelfHostedRunner,GitHub pull_request_target Workflow on Self-Hosted Runner,High,Developmental,disabled,,,,Disabled (Enabled: false)
GitHub.Repo.HookModified,DEPRECATED - GitHub Web Hook Modified,Info,Developmental,disabled,,,,Disabled (Enabled: false)
Kubernetes.BulkSecretAccess,Kubernetes Secret Enumeration by a User,Medium,Developmental,disabled,,,,Disabled (Enabled: false)
Kubernetes.Pod.Exec,Kubernetes Exec Into Pod,Medium,Developmental,disabled,,,,Disabled (Enabled: false)
Notion.Login.WITH.AccountChange,Notion Login WITH AccountChange,Medium,Developmental,disabled,,,,Disabled (Enabled: false)
Notion.LoginFromBlockedIP,Notion Login From Blocked IP,Medium,Developmental,disabled,,,,Disabled (Enabled: false)
Notion.Many.Pages.Deleted,Notion Many Pages Deleted [Deprecated],Medium,Developmental,disabled,,,,Disabled (Enabled: false)
Okta.Identity.Provider.SignIn,Okta Identity Provider Sign-in,High,Developmental,disabled,,,,Disabled (Enabled: false)
Okta.Login.Success,Okta Login Signal,Info,Developmental,disabled,,,,Disabled (Enabled: false)
Okta.Login.Without.Push.Group,Okta Login Without Push,Critical,Developmental,disabled,,,,Disabled (Enabled: false)
Okta.Login.Without.Push.Marker,Okta Login Without Push Marker,Medium,Developmental,disabled,,,,Disabled (Enabled: false)
OneLogin.HighRiskFailedLogin.WITH.SuccessfulLogin,OneLogin High Risk Failed Login WITH Successful Login,Medium,Developmental,disabled,,,,Disabled (Enabled: false)
OnePassword.Lut.Sensitive.Item,BETA - Sensitive 1Password Item Accessed,Low,Developmental,disabled,,,,Disabled (Enabled: false)
OnePassword.Sensitive.Item,Configuration Required - Sensitive 1Password Item Accessed,Low,Developmental,disabled,,,,Disabled (Enabled: false)
OpenAI.BruteForce.Login.Success.Group,OpenAI Brute Force Login Success,High,Developmental,disabled,,,,Disabled (Enabled: false)
Osquery.Linux.LoginFromNonOffice,A Login from Outside the Corporate Office,High,Developmental,disabled,,,,Disabled (Enabled: false)
Potential.Compromised.Okta.Credentials.Group,Potential Compromised Okta Credentials,Critical,Developmental,disabled,,,,Disabled (Enabled: false)
Push.Security.Authorized.IdP.Login,Push Security Authorized IdP Login,Info,Developmental,disabled,,,,Disabled (Enabled: false)
Push.Security.Unauthorized.IdP.Login,Push Security Unauthorized IdP Login,High,Developmental,disabled,,,,Disabled (Enabled: false)
Role.Assumed.by.AWS.Service,SIGNAL - Role Assumed by AWS Service,Info,Developmental,disabled,,,,Disabled (Enabled: false)
Role.Assumed.by.User,SIGNAL - Role Assumed by User,Info,Developmental,disabled,,,,Disabled (Enabled: false)
Secret.Exposed.and.not.Quarantined.Group,Secret Exposed and not Quarantined,High,Developmental,disabled,,,,Disabled (Enabled: false)
Snowflake.Data.Exfiltration.Group,Snowflake Data Exfiltration,Critical,Developmental,disabled,,,,Disabled (Enabled: false)
Snowflake.PotentialBruteForceSuccess.Group,Snowflake Brute Force Login Success,High,Developmental,disabled,,,,Disabled (Enabled: false)
Snowflake.Stream.DataExfiltration.Group,Snowflake Data Exfiltration,Critical,Developmental,disabled,,,,Disabled (Enabled: false)
Snowflake.Stream.LoginWithoutMFA,Snowflake Login Without MFA,Medium,Developmental,disabled,,,,Disabled (Enabled: false)
Snowflake.Stream.UserCreated,Snowflake User Created,Info,Developmental,disabled,,,,Disabled (Enabled: false)
Standard.DNSBase64,DNS Base64 Encoded Query,Medium,Developmental,disabled,,,,Disabled (Enabled: false)
Standard.GTI.MaliciousIndicator,GTI/VirusTotal Threat Intelligence Indicator Match,High,Developmental,disabled,,,,Disabled (Enabled: false)
Standard.MaliciousSSODNSLookup,Malicious SSO DNS Lookup,Medium,Developmental,disabled,,,,Disabled (Enabled: false)
Wiz.Issue.WITH.SSH,Wiz Issue WITH SSH to EC2 Instance,High,Developmental,disabled,,,,Disabled (Enabled: false)
AWS.GuardDuty.MediumSeverityFinding,AWS GuardDuty Medium Severity Finding,Medium,High,dd_verified,21.0,2.0,91.3%,
AWS.STS.GetCallerIdentity.TruffleHog,AWS STS GetCallerIdentity via TruffleHog,Medium,High,dd_verified,125.0,0,100.0%,
Cloudflare.Firewall.React2Shell.RCE,Cloudflare React2Shell RCE Attempt Detected,High,High,dd_verified,76.0,0,100.0%,
GCP.serviceusage.apiKeys.create.Privilege.Escalation,GCP serviceusage.apiKeys.create Privilege Escalation,High,High,dd_sampled,3,0,100.0%,Sampled DD data — may be incomplete (query truncation)
GitHub.User.RoleUpdated,GitHub User Role Updated,High,High,dd_verified,273.0,0,100.0%,
Github.Repository.Transfer,Github Repository Transfer,Medium,High,dd_verified,4.0,0,100.0%,
Intune.CreateModifyClientApp,Intune Create or Modify Client App,Medium,High,dd_verified,5.0,0,100.0%,
Microsoft.Graph.Passthrough,Microsoft Graph Passthrough,Medium,High,dd_sampled,388,8,98.0%,Sampled DD data — may be incomplete (query truncation)
Okta.Refresh.Access.Token.Reuse,Okta App Refresh Access Token Reuse,Medium,High,dd_verified,4.0,0,100.0%,
Panther.User.Modified,A User's Panther Account was Modified,High,High,dd_verified,4.0,0,100.0%,
Wiz.Service.Account.Change,Wiz Service Account Change,High,High,dd_verified,3.0,0,100.0%,
AWS.GuardDuty.HighSeverityFinding,AWS GuardDuty High Severity Finding,High,Medium,dd_sampled,29,19,60.4%,Sampled DD data — may be incomplete (query truncation)
AWS.IAM.Backdoor.User.Keys,AWS User API Key Created,Medium,Medium,dd_verified,4.0,4.0,50.0%,
Auth0.CIC.Credential.Stuffing,Auth0 CIC Credential Stuffing,High,Medium,dd_sampled,4,2,66.7%,Sampled DD data — may be incomplete (query truncation)
Azure.MonitorActivity.Storage.BlobPermissionsModified,Azure Storage Blob Container Permissions Modified,Medium,Medium,dd_verified,5.0,3.0,62.5%,
Crowdstrike.EppDetectionSummary,Crowdstrike Detection Summary,Medium,Medium,dd_verified,70.0,64.0,52.2%,
Defender.Detection.passthrough,Defender Detection Passthrough,Medium,Medium,dd_verified,24.0,3.0,88.9%,
GCP.Cloud.Storage.Buckets.Modified.Or.Deleted,GCP Cloud Storage Buckets Modified Or Deleted,Low,Medium,dd_verified,3.0,3.0,50.0%,
GCP.Service.Account.or.Keys.Created,GCP Service Account or Keys Created ,Low,Medium,dd_verified,3.0,2.0,60.0%,
GCP.User.Added.to.IAP.Protected.Service,GCP User Added to IAP Protected Service,Low,Medium,dd_sampled,5,2,71.4%,Sampled DD data — may be incomplete (query truncation)
GCP.iam.roles.update.Privilege.Escalation,GCP iam.roles.update Privilege Escalation,High,Medium,dd_verified,3.0,3.0,50.0%,
GCP.iam.serviceAccountKeys.create,GCP.Iam.ServiceAccountKeys.Create,High,Medium,dd_verified,5.0,4.0,55.6%,
GSuite.Gmail.Spam.Email.Surge,Spam Email Surge,Medium,Medium,dd_sampled,6,4,60.0%,Sampled DD data — may be incomplete (query truncation)
GitHub.Branch.ProtectionDisabled,GitHub Branch Protection Disabled,High,Medium,dd_sampled,4,1,80.0%,Sampled DD data — may be incomplete (query truncation)
Github.Repo.CollaboratorChange,GitHub Repository Collaborator Change,Medium,Medium,dd_verified,40.0,40.0,50.0%,
Github.Repo.VulnerabilityDismissed,GitHub Dependabot Vulnerability Dismissed,High,Medium,dd_verified,3.0,1.0,75.0%,
Slack.AuditLogs.UserPrivilegeEscalation,Slack User Privilege Escalation,High,Medium,dd_verified,10.0,2.0,83.3%,
Thinkst.CanaryTokenIncident,Thinkst Canarytoken Incident,High,Medium,dd_sampled,2,1,66.7%,Sampled DD data — may be incomplete (query truncation)
AWS.Bedrock.DeleteModelInvocationLoggingConfiguration,AWS Bedrock Model Invocation Logging Configuration Deleted,Medium,,no_data,,,,No alert volume or AI triage data in 30d window; fidelity omitted
AWS.Bedrock.GuardrailUpdateDelete,AWS Bedrock Guardrail Updated or Deleted,Medium,Investigative,dd_sampled,0,22,0.0%,Sampled DD data — may be incomplete (query truncation)
AWS.BedrockModelInvocation.AbnormalTokenUsage,AWS Bedrock Model Invocation Abnormal Token Usage,Info,,no_data,,,,No alert volume or AI triage data in 30d window; fidelity omitted
AWS.BedrockModelInvocation.GuardRailIntervened,AWS Bedrock Model Invocation GuardRail Intervened,Info,,no_data,,,,No alert volume or AI triage data in 30d window; fidelity omitted
AWS.CloudTrail.AMIModifiedForPublicAccess,Amazon Machine Image (AMI) Modified to Allow Public Access,Medium,,no_data,,,,No alert volume or AI triage data in 30d window; fidelity omitted
AWS.CloudTrail.Account.Discovery,AWS CloudTrail Account Discovery,Info,,no_data,,,,No alert volume or AI triage data in 30d window; fidelity omitted
AWS.CloudTrail.AttemptToLeaveOrg,AWS CloudTrail Attempt To Leave Org,Info,,no_data,,,,No alert volume or AI triage data in 30d window; fidelity omitted
AWS.CloudTrail.CodebuildProjectMadePublic,CodeBuild Project made Public,High,Investigative,dd_sampled,1,400,0.2%,Sampled DD data — may be incomplete (query truncation)
AWS.CloudTrail.Created,A CloudTrail Was Created or Updated,Info,Investigative,volume_based,,,,Avg 1 alerts/30d across customers; no AI triage data. Investigative by volume presence.
AWS.CloudTrail.DNSLogsDeleted,AWS DNS Logs Deleted,Info,,no_data,,,,No alert volume or AI triage data in 30d window; fidelity omitted
AWS.CloudTrail.EnableRegion,AWS Cloudtrail Region Enabled,Medium,,no_data,,,,No alert volume or AI triage data in 30d window; fidelity omitted
AWS.CloudTrail.EventSelectorsDisabled,CloudTrail Event Selectors Disabled,Medium,Investigative,volume_based,,,,Avg 1 alerts/30d across customers; no AI triage data. Investigative by volume presence.
AWS.CloudTrail.IAMAnythingChanged,IAM Change,Info,Investigative,dd_sampled,6,94,6.0%,Sampled DD data — may be incomplete (query truncation)
AWS.CloudTrail.IAMCompromisedKeyQuarantine,AWS Compromised IAM Key Quarantine,High,,no_data,,,,No alert volume or AI triage data in 30d window; fidelity omitted
AWS.CloudTrail.IMDSCredentialExfiltration,AWS IMDS Credential Usage Outside Expected Services,High,,no_data,,,,No alert volume or AI triage data in 30d window; fidelity omitted
AWS.CloudTrail.LoginProfileCreatedOrModified,AWS User Login Profile Created or Modified,Low,Investigative,volume_based,,,,Avg 1 alerts/30d across customers; no AI triage data. Investigative by volume presence.
AWS.CloudTrail.NetworkACLPermissiveEntry,AWS Network ACL Overly Permissive Entry Created,Medium,,no_data,,,,No alert volume or AI triage data in 30d window; fidelity omitted
AWS.CloudTrail.Password.Policy.Discovery,AWS CloudTrail Password Policy Discovery,Info,Investigative,volume_based,,,,Avg 11 alerts/30d across customers; no AI triage data. Investigative by volume presence.
AWS.CloudTrail.ResourceMadePublic,AWS Resource Made Public,Medium,Investigative,dd_sampled,0,6,0.0%,Sampled DD data — may be incomplete (query truncation)
AWS.CloudTrail.RootAccessKeyCreated,Root Account Access Key Created,Critical,,no_data,,,,No alert volume or AI triage data in 30d window; fidelity omitted
AWS.CloudTrail.RootPasswordChanged,Root Password Changed,High,,no_data,,,,No alert volume or AI triage data in 30d window; fidelity omitted
AWS.CloudTrail.SES.CheckIdentityVerifications,AWS CloudTrail SES Check Identity Verifications,Info,,no_data,,,,No alert volume or AI triage data in 30d window; fidelity omitted
AWS.CloudTrail.SES.CheckSESSendingEnabled,AWS CloudTrail SES Check SES Sending Enabled,Info,,no_data,,,,No alert volume or AI triage data in 30d window; fidelity omitted
AWS.CloudTrail.SES.CheckSendQuota,AWS CloudTrail SES Check Send Quota,Info,,no_data,,,,No alert volume or AI triage data in 30d window; fidelity omitted
AWS.CloudTrail.SES.ListIdentities,AWS CloudTrail SES List Identities,Info,,no_data,,,,No alert volume or AI triage data in 30d window; fidelity omitted
AWS.CloudTrail.SES.SESEnumeration,AWS CloudTrail SES Enumeration,Medium,Investigative,dd_sampled,0,11,0.0%,Sampled DD data — may be incomplete (query truncation)
AWS.CloudTrail.SecurityConfigurationChange,Account Security Configuration Changed,Medium,Investigative,dd_sampled,0,224,0.0%,Sampled DD data — may be incomplete (query truncation)
AWS.CloudTrail.ShortLifecycle,AWS CloudTrail Retention Lifecycle Too Short,Info,,no_data,,,,No alert volume or AI triage data in 30d window; fidelity omitted
AWS.CloudTrail.SnapshotMadePublic,AWS Snapshot Made Public,Medium,,no_data,,,,No alert volume or AI triage data in 30d window; fidelity omitted
AWS.CloudTrail.Stopped,CloudTrail Stopped,Medium,Investigative,volume_based,,,,Avg 1 alerts/30d across customers; no AI triage data. Investigative by volume presence.
AWS.CloudTrail.UnauthorizedAPICall,Monitor Unauthorized API Calls,Info,Investigative,volume_based,,,,Avg 7 alerts/30d across customers; no AI triage data. Investigative by volume presence.
AWS.CloudTrail.UserAccessKeyAuth,AWS.CloudTrail.UserAccessKeyAuth,Info,,no_data,,,,No alert volume or AI triage data in 30d window; fidelity omitted
AWS.CloudTrail.VPCE.AccessDenied,VPC Endpoint Access Denied,Medium,,no_data,,,,No alert volume or AI triage data in 30d window; fidelity omitted
AWS.CloudTrail.VPCE.ExternalPrincipal,External Principal Accessing AWS Resources Via VPC Endpoint,Medium,,no_data,,,,No alert volume or AI triage data in 30d window; fidelity omitted
AWS.CloudTrail.VPCE.S3ExternalIP,S3 Access Via VPC Endpoint From External IP,Medium,,no_data,,,,No alert volume or AI triage data in 30d window; fidelity omitted
AWS.CloudTrail.VPCE.SensitiveAPICalls,Sensitive API Calls Via VPC Endpoint,Medium,,no_data,,,,No alert volume or AI triage data in 30d window; fidelity omitted
AWS.ConfigService.Created,AWS Config Service Created,Info,,no_data,,,,No alert volume or AI triage data in 30d window; fidelity omitted
AWS.ConfigService.DisabledDeleted,AWS Config Service Disabled,Medium,,no_data,,,,No alert volume or AI triage data in 30d window; fidelity omitted
AWS.Console.GetSigninToken.Abuse,AWS Console GetSigninToken Potential Abuse,Medium,Investigative,dd_sampled,0,3,0.0%,Sampled DD data — may be incomplete (query truncation)
AWS.Console.Login,AWS Console Login,Info,,no_data,,,,No alert volume or AI triage data in 30d window; fidelity omitted
AWS.Console.LoginWithoutMFA,Logins Without MFA,High,Investigative,dd_sampled,0,428,0.0%,Sampled DD data — may be incomplete (query truncation)
AWS.Console.RootLogin,Root Console Login,High,Investigative,volume_based,,,,Avg 2 alerts/30d across customers; no AI triage data. Investigative by volume presence.
AWS.Console.RootLoginFailed,Failed Root Console Login,High,Investigative,dd_sampled,17,1390,1.2%,Sampled DD data — may be incomplete (query truncation)
AWS.Console.Sign-In,SIGNAL - AWS Console SSO Sign-In,Info,,no_data,,,,No alert volume or AI triage data in 30d window; fidelity omitted
AWS.DNS.Crypto.Domain,AWS DNS Crypto Domain,High,,no_data,,,,No alert volume or AI triage data in 30d window; fidelity omitted
AWS.EC2.DownloadInstanceUserData,AWS EC2 Download Instance User Data,Medium,Investigative,dd_sampled,0,19,0.0%,Sampled DD data — may be incomplete (query truncation)
AWS.EC2.EBS.Encryption.Disabled,AWS EC2 EBS Encryption Disabled,Medium,,no_data,,,,No alert volume or AI triage data in 30d window; fidelity omitted
AWS.EC2.GatewayModified,EC2 Network Gateway Modified,Info,Investigative,volume_based,,,,Avg 1 alerts/30d across customers; no AI triage data. Investigative by volume presence.
AWS.EC2.LaunchUnusualEC2Instances,AWS EC2 Launch Unusual EC2 Instances,Info,,no_data,,,,No alert volume or AI triage data in 30d window; fidelity omitted
AWS.EC2.ManyPasswordReadAttempts,AWS EC2 Many Password Read Attempts,Info,,no_data,,,,No alert volume or AI triage data in 30d window; fidelity omitted
AWS.EC2.Monitoring,AWS EC2 Image Monitoring,Info,Investigative,volume_based,,,,Avg 56 alerts/30d across customers; no AI triage data. Investigative by volume presence.
AWS.EC2.MultiInstanceConnect,AWS EC2 Multi Instance Connect,Info,,no_data,,,,No alert volume or AI triage data in 30d window; fidelity omitted
AWS.EC2.NetworkACLModified,EC2 Network ACL Modified,Info,,no_data,,,,No alert volume or AI triage data in 30d window; fidelity omitted
AWS.EC2.RouteTableModified,EC2 Route Table Modified,Info,Investigative,volume_based,,,,Avg 21 alerts/30d across customers; no AI triage data. Investigative by volume presence.
AWS.EC2.SecurityGroupModified,EC2 Security Group Modified,Info,Investigative,volume_based,,,,Avg 107 alerts/30d across customers; no AI triage data. Investigative by volume presence.
AWS.EC2.Startup.Script.Change,AWS EC2 Startup Script Change,High,Investigative,dd_sampled,11,407,2.6%,Sampled DD data — may be incomplete (query truncation)
AWS.EC2.StopInstances,CloudTrail EC2 StopInstances,Info,,no_data,,,,No alert volume or AI triage data in 30d window; fidelity omitted
AWS.EC2.Traffic.Mirroring,AWS EC2 Traffic Mirroring,Medium,,no_data,,,,No alert volume or AI triage data in 30d window; fidelity omitted
AWS.EC2.VPCModified,EC2 VPC Modified,Info,Investigative,volume_based,,,,Avg 8 alerts/30d across customers; no AI triage data. Investigative by volume presence.
AWS.EC2.Vulnerable.XZ.Image.Launched,AWS EC2 Vulnerable XZ Image Launched,High,,no_data,,,,No alert volume or AI triage data in 30d window; fidelity omitted
AWS.GuardDuty.CriticalSeverityFinding,AWS GuardDuty Critical Severity Finding,Critical,,no_data,,,,No alert volume or AI triage data in 30d window; fidelity omitted
AWS.GuardDuty.LowSeverityFinding,AWS GuardDuty Low Severity Finding,Low,Investigative,dd_sampled,0,9,0.0%,Sampled DD data — may be incomplete (query truncation)
AWS.IAM.AccessKeyCompromised,AWS IAM Access Key Compromise Detection,High,Investigative,dd_sampled,0,320,0.0%,Sampled DD data — may be incomplete (query truncation)
AWS.IAM.AttachAdminRolePolicy,IAM Administrator Role Policy Attached,Info,,no_data,,,,No alert volume or AI triage data in 30d window; fidelity omitted
AWS.IAM.AttachAdminUserPolicy,IAM User Policy Attached with Administrator Access,Info,,no_data,,,,No alert volume or AI triage data in 30d window; fidelity omitted
AWS.IAM.BackdoorRole,IAM Role Policy Updated to Allow Internet Access,Medium,Investigative,volume_based,,,,Avg 12 alerts/30d across customers; no AI triage data. Investigative by volume presence.
AWS.IAM.CreateRole,IAM Role Created,Info,,no_data,,,,No alert volume or AI triage data in 30d window; fidelity omitted
AWS.IAM.CreateUser,IAM User Created,Info,,no_data,,,,No alert volume or AI triage data in 30d window; fidelity omitted
AWS.IAM.CredentialsUpdated,New IAM Credentials Updated,Info,Investigative,volume_based,,,,Avg 49 alerts/30d across customers; no AI triage data. Investigative by volume presence.
AWS.IAM.PolicyModified,IAM Policy Modified,Info,Investigative,volume_based,,,,Avg 82 alerts/30d across customers; no AI triage data. Investigative by volume presence.
AWS.IAMUser.ReconAccessDenied,Detect Reconnaissance from IAM Users,Info,Investigative,volume_based,,,,Avg 7 alerts/30d across customers; no AI triage data. Investigative by volume presence.
AWS.IPSet.Modified,AWS Trusted IPSet Modified,High,Investigative,dd_sampled,0,396,0.0%,Sampled DD data — may be incomplete (query truncation)
AWS.KMS.CustomerManagedKeyLoss,KMS CMK Disabled or Deleted,Info,Investigative,volume_based,,,,Avg 5 alerts/30d across customers; no AI triage data. Investigative by volume presence.
